angle_deg,hrp_current,hrp_original_rebuilt,abs_diff
-125.0,0.887184458548,0.887184458548,0.000000000000e+00
-124.0,0.890945224445,0.890945224445,1.110223024625e-16
-123.0,0.899144803664,0.899144803664,5.551115123126e-16
-122.0,0.899554597138,0.899554597138,4.440892098501e-16
-121.0,0.903001271110,0.903001271110,0.000000000000e+00
-120.0,0.913132119569,0.913132119569,0.000000000000e+00
-119.0,0.921814241165,0.921814241165,2.220446049250e-16
-118.0,0.919246370021,0.919246370021,2.220446049250e-16
-117.0,0.927119229435,0.927119229435,2.220446049250e-16
-116.0,0.935010048917,0.935010048917,1.110223024625e-16
-115.0,0.931738752739,0.931738752739,3.330669073875e-16
-114.0,0.940063386548,0.940063386548,1.110223024625e-16
-113.0,0.937541811371,0.937541811371,0.000000000000e+00
-112.0,0.941654083733,0.941654083733,2.220446049250e-16
-111.0,0.939769669361,0.939769669361,0.000000000000e+00
-110.0,0.932971626103,0.932971626103,1.110223024625e-16
-109.0,0.940162390466,0.940162390466,2.220446049250e-16
-108.0,0.932078780798,0.932078780798,2.220446049250e-16
-107.0,0.937837985332,0.937837985332,1.110223024625e-16
-106.0,0.933265270250,0.933265270250,1.110223024625e-16
-105.0,0.942057357561,0.942057357561,4.440892098501e-16
-104.0,0.938322589340,0.938322589340,1.110223024625e-16
-103.0,0.941215211992,0.941215211992,3.330669073875e-16
-102.0,0.944904918671,0.944904918671,2.220446049250e-16
-101.0,0.944496366751,0.944496366751,2.220446049250e-16
-100.0,0.941080339778,0.941080339778,3.330669073875e-16
-99.0,0.942317955191,0.942317955191,4.440892098501e-16
-98.0,0.941701980754,0.941701980754,2.220446049250e-16
-97.0,0.937568064137,0.937568064137,1.110223024625e-16
-96.0,0.944350349550,0.944350349550,3.330669073875e-16
-95.0,0.929393508411,0.929393508411,1.110223024625e-16
-94.0,0.920661683584,0.920661683584,1.110223024625e-16
-93.0,0.919633401170,0.919633401170,0.000000000000e+00
-92.0,0.905048522951,0.905048522951,0.000000000000e+00
-91.0,0.897146712151,0.897146712151,3.330669073875e-16
-90.0,0.880245169257,0.880245169257,3.330669073875e-16
-89.0,0.865359607516,0.865359607516,2.220446049250e-16
-88.0,0.858271942930,0.858271942930,0.000000000000e+00
-87.0,0.846199380698,0.846199380698,2.220446049250e-16
-86.0,0.836928233728,0.836928233728,1.110223024625e-16
-85.0,0.821701817790,0.821701817790,1.110223024625e-16
-84.0,0.816921269573,0.816921269573,3.330669073875e-16
-83.0,0.820593534946,0.820593534946,4.440892098501e-16
-82.0,0.820588050522,0.820588050522,0.000000000000e+00
-81.0,0.822603516465,0.822603516465,2.220446049250e-16
-80.0,0.842570811890,0.842570811890,1.110223024625e-16
-79.0,0.868346128537,0.868346128537,0.000000000000e+00
-78.0,0.886528609265,0.886528609265,1.110223024625e-16
-77.0,0.903126010515,0.903126010515,0.000000000000e+00
-76.0,0.934895901563,0.934895901563,0.000000000000e+00
-75.0,0.953335239833,0.953335239833,1.110223024625e-16
-74.0,0.974763984741,0.974763984741,3.330669073875e-16
-73.0,0.988212069861,0.988212069861,2.220446049250e-16
-72.0,0.995152826162,0.995152826162,2.220446049250e-16
-71.0,1.000000000000,1.000000000000,0.000000000000e+00
-70.0,0.998402584928,0.998402584928,5.551115123126e-16
-69.0,0.990962072917,0.990962072917,1.110223024625e-16
-68.0,0.963850828528,0.963850828528,1.110223024625e-16
-67.0,0.946048456447,0.946048456447,4.440892098501e-16
-66.0,0.908434802751,0.908434802751,1.110223024625e-16
-65.0,0.860401988497,0.860401988497,2.220446049250e-16
-64.0,0.813043569949,0.813043569949,1.110223024625e-16
-63.0,0.747236543471,0.747236543471,3.330669073875e-16
-62.0,0.681319074990,0.681319074990,0.000000000000e+00
-61.0,0.614848386078,0.614848386078,0.000000000000e+00
-60.0,0.556063683846,0.556063683846,2.220446049250e-16
